idbeersales,category,subcategory,period,netsales,qtr,fyr,end_dt,end_qtr_dt,cyr
300,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2019 Q1,36458598,Q1,2019,06-30,2018-06-30T00:00:00Z,2018
301,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2019 Q2,39394361,Q2,2019,09-30,2018-09-30T00:00:00Z,2018
302,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2019 Q3,32861526,Q3,2019,12-31,2018-12-31T00:00:00Z,2018
303,Domestic - BC Beer,Domestic - BC Regional Beer,FY 2018 Q4,31598669,Q4,2018,03-01,2018-03-01T00:00:00Z,2018
304,Domestic - BC Beer,Domestic - BC Regional Beer,FY 2019 Q1,41731489,Q1,2019,06-30,2018-06-30T00:00:00Z,2018
305,Domestic - BC Beer,Domestic - BC Regional Beer,FY 2019 Q2,42654530,Q2,2019,09-30,2018-09-30T00:00:00Z,2018
306,Domestic - BC Beer,Domestic - BC Regional Beer,FY 2019 Q3,37733958,Q3,2019,12-31,2018-12-31T00:00:00Z,2018
307,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2018 Q4,13047287,Q4,2018,03-01,2018-03-01T00:00:00Z,2018
308,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2019 Q1,24014588,Q1,2019,06-30,2018-06-30T00:00:00Z,2018
309,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2019 Q2,22384440,Q2,2019,09-30,2018-09-30T00:00:00Z,2018
310,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2019 Q3,16169155,Q3,2019,12-31,2018-12-31T00:00:00Z,2018
311,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2018 Q4,271441,Q4,2018,03-01,2018-03-01T00:00:00Z,2018
312,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2019 Q1,388144,Q1,2019,06-30,2018-06-30T00:00:00Z,2018
313,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2019 Q2,498839,Q2,2019,09-30,2018-09-30T00:00:00Z,2018
314,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2019 Q3,347874,Q3,2019,12-31,2018-12-31T00:00:00Z,2018
315,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2018 Q4,1878655,Q4,2018,03-01,2018-03-01T00:00:00Z,2018
316,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2019 Q1,2059884,Q1,2019,06-30,2018-06-30T00:00:00Z,2018
317,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2019 Q2,2007055,Q2,2019,09-30,2018-09-30T00:00:00Z,2018
318,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2019 Q3,1984037,Q3,2019,12-31,2018-12-31T00:00:00Z,2018
319,Import Beer,Asia And South Pacific Beer,FY 2018 Q4,1465471,Q4,2018,03-01,2018-03-01T00:00:00Z,2018
320,Import Beer,Asia And South Pacific Beer,FY 2019 Q1,1583739,Q1,2019,06-30,2018-06-30T00:00:00Z,2018
321,Import Beer,Asia And South Pacific Beer,FY 2019 Q2,1791448,Q2,2019,09-30,2018-09-30T00:00:00Z,2018
322,Import Beer,Asia And South Pacific Beer,FY 2019 Q3,1487199,Q3,2019,12-31,2018-12-31T00:00:00Z,2018
323,Import Beer,Europe Beer,FY 2018 Q4,24636331,Q4,2018,03-01,2018-03-01T00:00:00Z,2018
324,Import Beer,Europe Beer,FY 2019 Q1,28682718,Q1,2019,06-30,2018-06-30T00:00:00Z,2018
325,Import Beer,Europe Beer,FY 2019 Q2,28976904,Q2,2019,09-30,2018-09-30T00:00:00Z,2018
326,Import Beer,Europe Beer,FY 2019 Q3,27350845,Q3,2019,12-31,2018-12-31T00:00:00Z,2018
327,Import Beer,Mexico And Caribbean Beer,FY 2018 Q4,8077358,Q4,2018,03-01,2018-03-01T00:00:00Z,2018
328,Import Beer,Mexico And Caribbean Beer,FY 2019 Q1,15229807,Q1,2019,06-30,2018-06-30T00:00:00Z,2018
329,Import Beer,Mexico And Caribbean Beer,FY 2019 Q2,15871776,Q2,2019,09-30,2018-09-30T00:00:00Z,2018
330,Import Beer,Mexico And Caribbean Beer,FY 2019 Q3,8657932,Q3,2019,12-31,2018-12-31T00:00:00Z,2018
331,Import Beer,Other Country Beer,FY 2018 Q4,155423,Q4,2018,03-01,2018-03-01T00:00:00Z,2018
332,Import Beer,Other Country Beer,FY 2019 Q1,143945,Q1,2019,06-30,2018-06-30T00:00:00Z,2018
333,Import Beer,Other Country Beer,FY 2019 Q2,195544,Q2,2019,09-30,2018-09-30T00:00:00Z,2018
334,Import Beer,Other Country Beer,FY 2019 Q3,140413,Q3,2019,12-31,2018-12-31T00:00:00Z,2018
335,Import Beer,USA Beer,FY 2018 Q4,7069654,Q4,2018,03-01,2018-03-01T00:00:00Z,2018
336,Import Beer,USA Beer,FY 2019 Q1,7349833,Q1,2019,06-30,2018-06-30T00:00:00Z,2018
337,Import Beer,USA Beer,FY 2019 Q2,7320089,Q2,2019,09-30,2018-09-30T00:00:00Z,2018
338,Import Beer,USA Beer,FY 2019 Q3,5838994,Q3,2019,12-31,2018-12-31T00:00:00Z,2018
339,Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2017 Q4,117899989,Q4,2017,03-01,2017-03-01T00:00:00Z,2017
340,Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2018 Q1,157994231,Q1,2018,06-30,2017-06-30T00:00:00Z,2017
341,Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2018 Q2,152841189,Q2,2018,09-30,2017-09-30T00:00:00Z,2017
342,Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2018 Q3,137883828,Q3,2018,12-31,2017-12-31T00:00:00Z,2017
343,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2017 Q4,23322538,Q4,2017,03-01,2017-03-01T00:00:00Z,2017
344,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2018 Q1,31389997,Q1,2018,06-30,2017-06-30T00:00:00Z,2017
345,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2018 Q2,33030747,Q2,2018,09-30,2017-09-30T00:00:00Z,2017
346,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2018 Q3,29421055,Q3,2018,12-31,2017-12-31T00:00:00Z,2017
347,Domestic - BC Beer,Domestic - BC Regional Beer,FY 2017 Q4,28950620,Q4,2017,03-01,2017-03-01T00:00:00Z,2017
348,Domestic - BC Beer,Domestic - BC Regional Beer,FY 2018 Q1,40564531,Q1,2018,06-30,2017-06-30T00:00:00Z,2017
349,Domestic - BC Beer,Domestic - BC Regional Beer,FY 2018 Q2,41528503,Q2,2018,09-30,2017-09-30T00:00:00Z,2017
350,Domestic - BC Beer,Domestic - BC Regional Beer,FY 2018 Q3,36908781,Q3,2018,12-31,2017-12-31T00:00:00Z,2017
351,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2017 Q4,9485356,Q4,2017,03-01,2017-03-01T00:00:00Z,2017
352,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2018 Q1,18311368,Q1,2018,06-30,2017-06-30T00:00:00Z,2017
353,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2018 Q2,17922271,Q2,2018,09-30,2017-09-30T00:00:00Z,2017
354,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2018 Q3,11888697,Q3,2018,12-31,2017-12-31T00:00:00Z,2017
